latitude,longitude,nom_commune_complet,nom_departement,nom_region
46.1830720992,5.51435812316,Nurieux-Volognat,Ain,Auvergne-Rhône-Alpes
46.1830720992,5.51435812316,Nurieux-Volognat,Ain,Auvergne-Rhône-Alpes
45.6420014274,5.66039684889,Murs-et-Gélignieux,Ain,Auvergne-Rhône-Alpes
46.1537845403,5.61352793799,Nantua,Ain,Auvergne-Rhône-Alpes
46.1537845403,5.61352793799,Nantua,Ain,Auvergne-Rhône-Alpes
46.1567753049,5.00942432434,Neuville-les-Dames,Ain,Auvergne-Rhône-Alpes
46.0909654813,5.37349784691,Neuville-sur-Ain,Ain,Auvergne-Rhône-Alpes
46.1342937114,5.63714517869,Les Neyrolles,Ain,Auvergne-Rhône-Alpes
45.8184192468,4.9309045685,Neyron,Ain,Auvergne-Rhône-Alpes
45.8222941077,5.05949629195,Niévroz,Ain,Auvergne-Rhône-Alpes
45.9999448244,5.45847815374,Nivollet-Montgriffon,Ain,Auvergne-Rhône-Alpes
45.9651165469,5.47146617499,Oncieu,Ain,Auvergne-Rhône-Alpes
45.8339690378,5.5395794296,Ordonnaz,Ain,Auvergne-Rhône-Alpes
46.2774557513,6.09454723599,Ornex,Ain,Auvergne-Rhône-Alpes
46.067796636,5.55697547429,Outriaz,Ain,Auvergne-Rhône-Alpes
46.2605435859,5.65344320923,Oyonnax,Ain,Auvergne-Rhône-Alpes
46.2605435859,5.65344320923,Oyonnax,Ain,Auvergne-Rhône-Alpes
46.2605435859,5.65344320923,Oyonnax,Ain,Auvergne-Rhône-Alpes
46.3867168877,4.91805840196,Ozan,Ain,Auvergne-Rhône-Alpes
45.9184267932,4.82747423402,Parcieux,Ain,Auvergne-Rhône-Alpes
45.7437340183,5.73800737134,Parves et Nattages,Ain,Auvergne-Rhône-Alpes
45.7437340183,5.73800737134,Parves et Nattages,Ain,Auvergne-Rhône-Alpes
46.1913554154,5.91968751164,Péron,Ain,Auvergne-Rhône-Alpes
46.1711903413,5.21802169564,Péronnas,Ain,Auvergne-Rhône-Alpes
45.8803945768,5.17955874977,Pérouges,Ain,Auvergne-Rhône-Alpes
46.2465065604,4.97464940331,Perrex,Ain,Auvergne-Rhône-Alpes
46.1498184067,5.50572312284,Peyriat,Ain,Auvergne-Rhône-Alpes
45.6762428663,5.67912809192,Peyrieu,Ain,Auvergne-Rhône-Alpes
46.1226331853,4.82243226719,Peyzieux-sur-Saône,Ain,Auvergne-Rhône-Alpes
46.385801285,5.27417594024,Pirajoux,Ain,Auvergne-Rhône-Alpes
45.8928509581,5.08915465965,Pizay,Ain,Auvergne-Rhône-Alpes
46.1883038423,5.71763811249,Plagne,Ain,Auvergne-Rhône-Alpes
46.0230264227,5.08912046926,Le Plantay,Ain,Auvergne-Rhône-Alpes
46.2463108642,5.13794412439,Polliat,Ain,Auvergne-Rhône-Alpes
45.7965373468,5.74794515549,Pollieu,Ain,Auvergne-Rhône-Alpes
46.089530586,5.41681266947,Poncin,Ain,Auvergne-Rhône-Alpes
46.0542077091,5.34703652618,Pont-d'Ain,Ain,Auvergne-Rhône-Alpes
46.4422864477,4.92862459427,Pont-de-Vaux,Ain,Auvergne-Rhône-Alpes
46.2637215091,4.88186068102,Pont-de-Veyle,Ain,Auvergne-Rhône-Alpes
46.155963139,5.57615832883,Port,Ain,Auvergne-Rhône-Alpes
46.1450914685,5.95100479291,Pougny,Ain,Auvergne-Rhône-Alpes
46.3219301481,5.42318000482,Pouillat,Ain,Auvergne-Rhône-Alpes
45.6806263123,5.64396081449,Prémeyzel,Ain,Auvergne-Rhône-Alpes
45.876457149,5.56475010385,Prémillieu,Ain,Auvergne-Rhône-Alpes
46.25827228,6.07223251859,Prévessin-Moëns,Ain,Auvergne-Rhône-Alpes
46.25827228,6.07223251859,Prévessin-Moëns,Ain,Auvergne-Rhône-Alpes
46.0197521486,5.28523353803,Priay,Ain,Auvergne-Rhône-Alpes
45.8176794806,5.64970405499,Pugieu,Ain,Auvergne-Rhône-Alpes
46.1905550894,5.35572056985,Ramasse,Ain,Auvergne-Rhône-Alpes
45.9673905154,4.86343025951,Rancé,Ain,Auvergne-Rhône-Alpes
46.0843657897,4.94176845356,Relevant,Ain,Auvergne-Rhône-Alpes
46.3077356023,4.8746938271,Replonges,Ain,Auvergne-Rhône-Alpes
46.1615355815,5.33543916388,Revonnas,Ain,Auvergne-Rhône-Alpes
45.9367652442,4.82840395968,Reyrieux,Ain,Auvergne-Rhône-Alpes
46.4285569061,4.91285056272,Reyssouze,Ain,Auvergne-Rhône-Alpes
45.9518762734,5.16936671105,Rignieux-le-Franc,Ain,Auvergne-Rhône-Alpes
46.1237520756,5.0217131176,Romans,Ain,Auvergne-Rhône-Alpes
45.8363854589,5.59926863007,Rossillon,Ain,Auvergne-Rhône-Alpes
46.0037108867,5.65322391497,Ruffieu,Ain,Auvergne-Rhône-Alpes
46.0983335519,5.45573839846,Saint-Alban,Ain,Auvergne-Rhône-Alpes
46.298541568,4.91411565769,Saint-André-de-Bâgé,Ain,Auvergne-Rhône-Alpes
45.927001954,4.95373324492,Saint-André-de-Corcy,Ain,Auvergne-Rhône-Alpes
